ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
5108	"ENSG00000234741.3"	"GAS5"	chr1	-	173834366	173834685	173834366	173834420	173834647	173834685	5108	181,367	280,516	846,575	623,446	197	99	6.42157608199e-08	1.42244038876e-05	0.245,0.263	0.406,0.393	-0.146
5931	"ENSG00000125733.13"	"TRIP10"	chr19	+	6743204	6743609	6743204	6743267	6743504	6743609	5931	0,0	83,111	18,11	101,71	197	99	8.15886593841e-08	1.68923998255e-05	0.0,0.0	0.082,0.072	-0.077
331	"ENSG00000198258.6"	"UBL5"	chr19	+	9939002	9939351	9939002	9939069	9939267	9939351	331	26,75	555,354	12,10	409,341	197	99	1.05356446789e-07	2.09044749837e-05	0.023,0.096	0.015,0.015	0.044
3982	"ENSG00000092199.13"	"HNRNPC"	chr14	-	21677294	21679725	21677294	21679465	21679564	21679725	3982	67,245	1291,721	56,50	1082,929	197	99	2.1860115329e-07	4.16391476787e-05	0.025,0.146	0.025,0.026	0.06
5046	"ENSG00000090316.11"	"MAEA"	chr4	+	1332209	1333924	1332209	1332405	1332861	1333924	5046	9,11	197,194	29,16	108,92	197	99	3.94850912744e-07	7.23184633264e-05	0.022,0.028	0.119,0.08	-0.075
756	"ENSG00000070761.3"	"C16orf80"	chr16	-	58148713	58149361	58148713	58148824	58149172	58149361	756	1,0	66,118	15,8	73,50	197	99	4.29592490025e-07	7.5767386574e-05	0.008,0.0	0.094,0.074	-0.08
5422	"ENSG00000096746.13"	"HNRNPH3"	chr10	+	70096955	70098444	70096955	70097090	70098259	70098444	5422	60,108	121,153	145,77	93,62	197	99	1.3124939201e-06	0.000223217715983	0.199,0.262	0.439,0.384	-0.181
4402	"ENSG00000113013.8"	"HSPA9"	chr5	-	137892462	137893185	137892462	137892555	137893090	137893185	4402	53,17	1398,1656	87,57	1403,1300	197	99	2.78033286005e-06	0.00045654983033	0.019,0.005	0.03,0.022	-0.014
4028	"ENSG00000103168.12"	"TAF1C"	chr16	-	84213775	84214792	84213775	84213950	84214648	84214792	4028	41,44	59,66	68,47	32,24	197	99	3.01551685167e-06	0.000478663041588	0.259,0.251	0.516,0.496	-0.251
4997	"ENSG00000099901.12"	"RANBP1"	chr22	+	20113825	20114704	20113825	20113891	20114474	20114704	4997	114,136	3042,2885	173,113	1881,1723	197	99	3.78849085103e-06	0.000581961078471	0.018,0.023	0.044,0.032	-0.018
3221	"ENSG00000172053.10"	"QARS"	chr3	-	49135424	49135913	49135424	49135550	49135624	49135913	3221	28,28	432,164	10,8	383,296	172	99	5.37072865248e-06	0.000799231557597	0.036,0.089	0.015,0.015	0.048
5101	"ENSG00000234741.3"	"GAS5"	chr1	-	173833394	173833842	173833394	173833442	173833812	173833842	5101	281,418	18,0	532,430	53,41	197	99	5.75744912457e-06	0.000830817355491	0.887,1.0	0.835,0.841	0.106
1973	"ENSG00000221968.4"	"FADS3"	chr11	-	61643830	61644435	61643830	61643927	61644337	61644435	1973	229,80	134,60	210,144	59,42	197	99	6.37940450621e-06	0.000893491889958	0.462,0.401	0.641,0.633	-0.206
4904	"ENSG00000110619.12"	"CARS"	chr11	-	3047905	3050314	3047905	3048027	3050225	3050314	4904	11,0	68,47	46,33	101,76	197	99	7.05131240997e-06	0.000959381419894	0.075,0.0	0.186,0.179	-0.145
6040	"ENSG00000123136.10"	"DDX39A"	chr19	-	14520553	14521146	14520553	14520685	14521027	14521146	6040	60,60	224,296	104,67	189,152	197	99	7.31608137594e-06	0.000967754986451	0.119,0.092	0.217,0.181	-0.094
786	"ENSG00000141504.7"	"SAT2"	chr17	-	7530460	7530732	7530460	7530544	7530680	7530732	786	0,0	19,23	10,4	11,6	197	99	7.77265014107e-06	0.00100036108032	0.0,0.0	0.314,0.251	-0.282
148	"ENSG00000198901.9"	"PRC1"	chr15	-	91524728	91525211	91524728	91524899	91524977	91525211	148	29,54	358,408	77,44	271,223	176	99	9.28358765984e-06	0.00116338011674	0.044,0.069	0.138,0.1	-0.063
4594	"ENSG00000103496.10"	"STX4"	chr16	+	31045546	31045857	31045546	31045646	31045782	31045857	4594	12,8	57,111	23,16	50,30	197	99	1.06392358593e-05	0.00129907797851	0.096,0.035	0.188,0.211	-0.134
75	"ENSG00000130600.11"	"H19"	chr11	-	2017105	2017421	2017105	2017228	2017308	2017421	75	3,5	16,3	2,2	122,113	178	99	1.18312956922e-05	0.00140851575216	0.094,0.481	0.009,0.01	0.278
2868	"ENSG00000147403.12"	"RPL10"	chrX	+	153627694	153627935	153627694	153627737	153627827	153627935	2868	48,58	4728,4432	56,64	1509,1940	188	99	1.31269934152e-05	0.00148835101531	0.005,0.007	0.019,0.017	-0.012
6513	"ENSG00000117410.9"	"ATP6V0B"	chr1	+	44441973	44442331	44441973	44442051	44442261	44442331	6513	0,35	347,577	33,16	260,189	197	99	1.30002424018e-05	0.00148835101531	0.0,0.03	0.06,0.041	-0.036
6706	"ENSG00000168488.14"	"ATXN2L"	chr16	+	28847253	28848558	28847253	28847806	28848048	28848558	6706	312,282	31,66	573,398	29,21	197	99	1.8256122822e-05	0.0019758103836	0.835,0.682	0.909,0.905	-0.149
7454	"ENSG00000169045.13"	"HNRNPH1"	chr5	-	179044799	179045061	179044799	179044933	179044989	179045061	7454	105,179	2074,1238	280,185	1580,1428	154	99	1.79162832967e-05	0.0019758103836	0.032,0.085	0.102,0.077	-0.031
830	"ENSG00000139613.7"	"SMARCC2"	chr12	-	56572187	56572631	56572187	56572318	56572593	56572631	830	69,31	525,470	90,63	427,317	197	99	2.03740360766e-05	0.00215602577326	0.062,0.032	0.096,0.091	-0.046
7493	"ENSG00000076382.12"	"SPAG5"	chr17	-	26905027	26905310	26905027	26905108	26905235	26905310	7493	37,7	236,278	63,35	275,182	197	99	2.26903677522e-05	0.00234894633122	0.073,0.012	0.103,0.088	-0.053
2494	"ENSG00000122566.16"	"HNRNPA2B1"	chr7	-	26231920	26232148	26231920	26231958	26232114	26232148	2494	45,172	985,186	34,30	780,680	197	99	2.55436762941e-05	0.00258806354282	0.022,0.317	0.021,0.022	0.148
2028	"ENSG00000129460.11"	"NGDN"	chr14	+	23946408	23946769	23946408	23946565	23946711	23946769	2028	14,8	127,204	24,16	100,73	197	99	2.71195184468e-05	0.00269048222591	0.052,0.019	0.108,0.099	-0.068
120	"ENSG00000101158.8"	"NELFCD"	chr20	+	57569696	57570188	57569696	57569879	57569980	57570188	120	479,675	0,9	370,279	15,10	197	99	3.34859714181e-05	0.0032542897121	1.0,0.974	0.925,0.933	0.058
2394	"ENSG00000144021.2"	"CIAO1"	chr2	+	96934194	96935093	96934194	96934396	96935005	96935093	2394	130,66	238,211	132,108	159,123	197	99	3.80676707864e-05	0.0036255649657	0.215,0.136	0.294,0.306	-0.124
5216	"ENSG00000172262.7"	"ZNF131"	chr5	+	43161350	43162033	43161350	43161708	43161810	43162033	5216	57,15	155,132	59,37	92,64	197	99	3.90653817601e-05	0.00364763427336	0.156,0.054	0.244,0.225	-0.13
4412	"ENSG00000175061.13"	"C17orf76-AS1"	chr17	+	16342640	16343567	16342640	16342728	16343498	16343567	4412	70,37	3175,251	88,69	4726,3711	197	99	4.07544195407e-05	0.00373216434332	0.011,0.069	0.009,0.009	0.031
3949	"ENSG00000143418.15"	"CERS2"	chr1	-	150939231	150939678	150939231	150939338	150939549	150939678	3949	1,28	672,1094	40,23	784,580	197	99	4.55417814308e-05	0.00409188609761	0.001,0.013	0.025,0.02	-0.015
67	"ENSG00000110321.11"	"EIF4G2"	chr11	-	10825026	10825597	10825026	10825137	10825445	10825597	67	12,41	761,866	42,28	509,409	197	99	4.96805758854e-05	0.00438109078456	0.008,0.023	0.04,0.033	-0.021
4297	"ENSG00000160201.7"	"U2AF1"	chr21	-	44513065	44514673	44513065	44513359	44514580	44514673	4297	13,13	287,213	39,20	211,180	197	99	5.45472548529e-05	0.00472280050199	0.022,0.03	0.085,0.053	-0.043
1109	"ENSG00000172432.14"	"GTPBP2"	chr6	-	43588226	43589904	43588226	43589527	43589739	43589904	1109	52,0	305,205	68,50	291,238	197	99	5.88662501746e-05	0.00500573363092	0.079,0.0	0.105,0.095	-0.061
6108	"ENSG00000178252.13"	"WDR6"	chr3	+	49049067	49051726	49049067	49051549	49051642	49051726	6108	7,11	42,62	22,15	30,24	191	99	6.47490887349e-05	0.00540938878168	0.08,0.084	0.275,0.245	-0.178
3422	"ENSG00000143621.12"	"ILF2"	chr1	-	153635494	153635752	153635494	153635609	153635690	153635752	3422	0,14	569,647	27,15	512,433	179	99	7.27805107523e-05	0.0059428901683	0.0,0.012	0.028,0.019	-0.018
7406	"ENSG00000132950.14"	"ZMYM5"	chr13	-	20425494	20426330	20425494	20425588	20425828	20426330	7406	4,0	29,27	11,6	15,9	197	99	7.36309365665e-05	0.0059428901683	0.065,0.0	0.269,0.251	-0.228
2673	"ENSG00000198563.9"	"DDX39B"	chr6	-	31500556	31503262	31500556	31500688	31503143	31503262	2673	597,286	470,536	574,440	258,248	197	99	8.57063728686e-05	0.00680222912667	0.39,0.211	0.528,0.471	-0.199
2867	"ENSG00000147403.12"	"RPL10"	chrX	+	153628143	153628967	153628143	153628282	153628804	153628967	2867	160,124	4862,3079	301,206	5004,3500	197	99	9.10640440556e-05	0.00710896684906	0.016,0.02	0.029,0.029	-0.011
4608	"ENSG00000175197.6"	"DDIT3"	chr12	-	57911051	57911536	57911051	57911207	57911488	57911536	4608	0,35	14,16	320,234	35,24	197	99	9.57545575057e-05	0.00732448110981	0.0,0.524	0.821,0.831	-0.564
536	"ENSG00000185813.6"	"PCYT2"	chr17	-	79865429	79865733	79865429	79865474	79865648	79865733	536	3,1	155,89	12,9	89,83	197	99	9.69009470638e-05	0.00732448110981	0.01,0.006	0.063,0.052	-0.049
6258	"ENSG00000265681.2"	"RPL17"	chr18	-	47017901	47018203	47017901	47017954	47018105	47018203	6258	616,659	221,249	689,545	453,289	197	99	0.000105911424889	0.00788047195815	0.583,0.571	0.433,0.487	0.117
243	"ENSG00000155363.14"	"MOV10"	chr1	+	113240908	113241411	113240908	113241100	113241336	113241411	243	103,38	137,59	106,73	72,48	197	99	0.000127411139799	0.00926179979816	0.274,0.245	0.425,0.433	-0.169
6247	"ENSG00000160679.8"	"CHTOP"	chr1	+	153609047	153610924	153609047	153609129	153610770	153610924	6247	45,50	165,231	66,46	125,98	197	99	0.000128365977883	0.00926179979816	0.121,0.098	0.21,0.191	-0.091
6702	"ENSG00000168488.14"	"ATXN2L"	chr16	+	28847253	28848558	28847253	28847443	28848071	28848558	6702	377,289	59,50	581,390	46,32	197	99	0.000133852381729	0.00951350808647	0.763,0.744	0.864,0.86	-0.108
5110	"ENSG00000234741.3"	"GAS5"	chr1	-	173833394	173834420	173833394	173833842	173834366	173834420	5110	145,194	717,1669	417,328	1889,1254	197	99	0.000145428737973	0.0101842889739	0.092,0.055	0.1,0.116	-0.035
2159	"ENSG00000204256.8"	"BRD2"	chr6	+	32944338	32945347	32944338	32944713	32945218	32945347	2159	111,134	394,510	64,46	439,308	197	99	0.00015258706198	0.0105307186833	0.124,0.117	0.068,0.07	0.051
1592	"ENSG00000114857.13"	"NKTR"	chr3	+	42661507	42663008	42661507	42661535	42662920	42663008	1592	71,119	12,7	52,41	21,16	197	99	0.000158787059714	0.0108020568337	0.748,0.895	0.554,0.563	0.263
3379	"ENSG00000013441.11"	"CLK1"	chr2	-	201721613	201722607	201721613	201721708	201722440	201722607	3379	14,0	83,69	27,16	78,51	197	99	0.000164165645294	0.0110106591956	0.078,0.0	0.148,0.136	-0.103
2307	"ENSG00000161981.6"	"SNRNP25"	chr16	+	105776	106613	105776	105882	106538	106613	2307	6,9	308,306	21,13	215,195	197	99	0.000180919252793	0.0118018833123	0.01,0.015	0.047,0.032	-0.027
4963	"ENSG00000185686.13"	"PRAME"	chr22	-	22899231	22900000	22899231	22899506	22899964	22900000	4963	972,620	25,6	987,816	52,32	197	99	0.000179283740117	0.0118018833123	0.951,0.981	0.905,0.928	0.049
1622	"ENSG00000100359.16"	"SGSM3"	chr22	+	40804936	40805376	40804936	40805022	40805253	40805376	1622	16,7	20,16	35,24	12,9	197	99	0.000188714335997	0.0121440225408	0.287,0.18	0.594,0.573	-0.35
800	"ENSG00000241370.1"	"RPP21"	chr6	+	30312935	30313175	30312935	30313005	30313074	30313175	800	62,100	168,254	37,25	187,146	167	99	0.000220430678945	0.0139958785751	0.18,0.189	0.105,0.092	0.086
5749	"ENSG00000011243.13"	"AKAP8L"	chr19	-	15514285	15514853	15514285	15514526	15514820	15514853	5749	8,0	191,337	19,10	252,176	197	99	0.000228185345513	0.0142976133596	0.021,0.0	0.037,0.028	-0.022
2452	"ENSG00000100983.5"	"GSS"	chr20	-	33530290	33530809	33530290	33530430	33530733	33530809	2452	63,41	289,267	89,66	247,192	197	99	0.00025002247279	0.0153904765428	0.099,0.072	0.153,0.147	-0.065
2635	"ENSG00000108465.10"	"CDK5RAP3"	chr17	+	46050884	46051397	46050884	46051016	46051296	46051397	2635	67,28	213,129	91,61	164,117	197	99	0.000252090963952	0.0153904765428	0.136,0.098	0.218,0.208	-0.096
344	"ENSG00000101843.14"	"PSMD10"	chrX	-	107331182	107331329	107331182	107331202	107331325	107331329	344	220,189	11,2	225,175	25,18	197	99	0.000256710810233	0.0154741377004	0.91,0.979	0.819,0.83	0.12
13	"ENSG00000145191.7"	"EIF2B5"	chr3	+	183860839	183861353	183860839	183860930	183861229	183861353	13	40,50	155,167	60,41	94,80	197	99	0.000262888618992	0.0156484450455	0.115,0.131	0.243,0.205	-0.101
3333	"ENSG00000143543.10"	"JTB"	chr1	-	153949168	153949489	153949168	153949251	153949451	153949489	3333	73,60	407,288	99,71	267,217	197	99	0.000267432276522	0.0157223765531	0.083,0.095	0.157,0.141	-0.06
5850	"ENSG00000171453.13"	"POLR1C"	chr6	+	43487443	43487923	43487443	43487576	43487803	43487923	5850	48,27	259,483	61,39	261,215	197	99	0.000280512426017	0.0162902460085	0.085,0.027	0.105,0.084	-0.038
4019	"ENSG00000161016.11"	"RPL8"	chr8	-	146016661	146016880	146016661	146016692	146016755	146016880	4019	5948,5261	342,300	3900,3397	354,284	161	99	0.000285560200832	0.0163835864622	0.914,0.915	0.871,0.88	0.039
307	"ENSG00000184661.9"	"CDCA2"	chr8	+	25317755	25318070	25317755	25317816	25317899	25318070	307	17,13	135,108	33,22	99,71	181	99	0.000312121325587	0.0176943065767	0.064,0.062	0.154,0.145	-0.086
994	"ENSG00000182199.6"	"SHMT2"	chr12	+	57627785	57628509	57627785	57627893	57628016	57628509	994	28,28	364,96	25,13	387,314	197	99	0.000317909559082	0.0178104155335	0.037,0.128	0.031,0.02	0.057
117	"ENSG00000101158.8"	"NELFCD"	chr20	+	57568678	57569294	57568678	57568819	57569164	57569294	117	99,85	448,515	131,92	375,302	197	99	0.00033520489267	0.0185609964988	0.1,0.077	0.149,0.133	-0.053
4966	"ENSG00000185686.13"	"PRAME"	chr22	-	22899231	22900000	22899231	22899350	22899964	22900000	4966	791,298	1213,1642	647,533	897,747	197	99	0.00035480976134	0.019420736592	0.247,0.084	0.266,0.264	-0.1
1282	"ENSG00000156261.8"	"CCT8"	chr21	-	30439036	30439392	30439036	30439098	30439211	30439392	1282	19,48	1117,643	16,10	912,791	197	99	0.000385312041388	0.0208506356942	0.008,0.036	0.009,0.006	0.014
3132	"ENSG00000172732.7"	"MUS81"	chr11	+	65632190	65632616	65632190	65632286	65632487	65632616	3132	44,40	76,73	58,33	43,28	197	99	0.000413887742014	0.0221453194098	0.225,0.216	0.404,0.372	-0.168
5722	"ENSG00000140553.12"	"UNC45A"	chr15	+	91492883	91493497	91492883	91492950	91493383	91493497	5722	9,4	32,41	26,14	35,24	197	99	0.000471052117386	0.0249238909221	0.124,0.047	0.272,0.227	-0.164
7340	"ENSG00000166508.13"	"MCM7"	chr7	-	99696645	99697026	99696645	99696826	99696901	99697026	7340	33,71	1641,2183	68,56	1344,1215	173	99	0.000516376946793	0.0270218353915	0.011,0.018	0.028,0.026	-0.013
115	"ENSG00000101158.8"	"NELFCD"	chr20	+	57563968	57564695	57563968	57564076	57564542	57564695	115	23,27	196,321	45,29	195,158	197	99	0.00052648312475	0.0272512243485	0.056,0.041	0.104,0.084	-0.045
3043	"ENSG00000106263.13"	"EIF3B"	chr7	+	2418323	2418877	2418323	2418401	2418768	2418877	3043	15,4	712,649	27,15	564,438	197	99	0.000540744976009	0.0276117046236	0.01,0.003	0.023,0.017	-0.013
5175	"ENSG00000079616.8"	"KIF22"	chr16	+	29809913	29810505	29809913	29810068	29810295	29810505	5175	34,27	518,657	56,32	464,375	197	99	0.000545044148387	0.0276117046236	0.032,0.02	0.057,0.041	-0.023
1559	"ENSG00000122952.12"	"ZWINT"	chr10	-	58119778	58120144	58119778	58119902	58120053	58120144	1559	67,84	208,345	95,71	190,149	197	99	0.000572003208229	0.0286724134483	0.139,0.109	0.201,0.193	-0.073
4942	"ENSG00000185088.8"	"RPS27L"	chr15	-	63446051	63447930	63446051	63446259	63447819	63447930	4942	3,0	171,182	11,6	149,109	197	99	0.000623624954548	0.0309343961829	0.009,0.0	0.036,0.027	-0.027
6193	"ENSG00000135597.14"	"REPS1"	chr6	-	139247537	139251235	139247537	139247618	139251113	139251235	6193	2,0	54,66	6,4	32,21	197	99	0.000656506018687	0.0319008332754	0.018,0.0	0.086,0.087	-0.077
7494	"ENSG00000076382.12"	"SPAG5"	chr17	-	26906768	26907138	26906768	26906855	26907026	26907138	7494	18,43	380,419	64,41	402,302	197	99	0.000650283994753	0.0319008332754	0.023,0.049	0.074,0.064	-0.033
1137	"ENSG00000149136.3"	"SSRP1"	chr11	-	57094176	57094988	57094176	57094363	57094899	57094988	1137	8,10	641,472	25,15	473,393	197	99	0.000669058547243	0.0321823919391	0.006,0.011	0.026,0.019	-0.014
593	"ENSG00000256269.2"	"HMBS"	chr11	+	118962834	118963233	118962834	118962873	118963113	118963233	593	36,21	156,125	61,45	141,114	197	99	0.000693557475684	0.0330272069921	0.104,0.078	0.179,0.166	-0.081
4267	"ENSG00000068308.9"	"OTUD5"	chrX	-	48791736	48792140	48791736	48791885	48791968	48792140	4267	18,22	23,34	32,24	15,11	181	99	0.000707606856252	0.033362612371	0.3,0.261	0.539,0.544	-0.261
1651	"ENSG00000088970.11"	"PLK1S1"	chr20	+	21224882	21227260	21224882	21224926	21227116	21227260	1651	6,7	13,29	16,9	10,7	197	99	0.000788588279874	0.0364588095996	0.188,0.108	0.446,0.393	-0.271
2629	"ENSG00000108465.10"	"CDK5RAP3"	chr17	+	46051765	46052703	46051765	46051814	46052524	46052703	2629	265,109	147,108	270,195	96,70	197	99	0.000782811032818	0.0364588095996	0.475,0.337	0.586,0.583	-0.178
4462	"ENSG00000166986.8"	"MARS"	chr12	+	57905790	57906136	57905790	57905886	57906085	57906136	4462	223,80	12,10	342,306	8,6	197	99	0.000804185669734	0.0365793335484	0.903,0.801	0.956,0.962	-0.107
4917	"ENSG00000179889.14"	"PDXDC1"	chr16	+	15125591	15126836	15125591	15125763	15126717	15126836	4917	4,15	61,129	23,14	76,51	197	99	0.000806558173578	0.0365793335484	0.032,0.055	0.132,0.121	-0.083
1431	"ENSG00000087274.12"	"ADD1"	chr4	+	2910241	2911158	2910241	2910331	2911065	2911158	1431	2,9	9,14	18,10	4,4	197	99	0.00086136517349	0.0386964241147	0.1,0.244	0.693,0.557	-0.453
6921	"ENSG00000067064.6"	"IDI1"	chr10	-	1089240	1090111	1089240	1089333	1089938	1090111	6921	9,19	203,501	30,20	266,255	197	99	0.000919575553666	0.0409254092202	0.022,0.019	0.054,0.038	-0.026
4356	"ENSG00000146083.7"	"RNF44"	chr5	-	175956731	175957207	175956731	175956819	175957082	175957207	4356	35,43	64,53	77,44	51,33	197	99	0.00100460832637	0.0442957856498	0.216,0.29	0.431,0.401	-0.163
4295	"ENSG00000160201.7"	"U2AF1"	chr21	-	44520562	44524512	44520562	44520629	44524424	44524512	4295	35,26	827,668	48,33	538,484	197	99	0.00103468919001	0.0452035772736	0.021,0.019	0.043,0.033	-0.018
4738	"ENSG00000077454.11"	"LRCH4"	chr7	-	100174316	100174628	100174316	100174400	100174524	100174628	4738	17,30	44,40	41,25	28,16	197	99	0.00108813727691	0.0471064519331	0.163,0.274	0.424,0.44	-0.213
5344	"ENSG00000105401.2"	"CDC37"	chr19	-	10505903	10506219	10505903	10506019	10506110	10506219	5344	247,160	603,580	219,171	404,341	189	99	0.00110989226614	0.0476153781203	0.177,0.126	0.221,0.208	-0.063
4562	"ENSG00000168283.9"	"BMI1"	chr10	+	22615359	22615915	22615359	22615490	22615818	22615915	4562	20,11	390,291	25,19	228,188	197	99	0.00124616108215	0.0529840988678	0.025,0.019	0.052,0.048	-0.028
3168	"ENSG00000171863.8"	"RPS7"	chr2	+	3622947	3623274	3622947	3623038	3623190	3623274	3168	7196,6775	63,41	4736,3768	66,44	197	99	0.00126787129151	0.0534301158422	0.983,0.988	0.973,0.977	0.011
6631	"ENSG00000131795.8"	"RBM8A"	chr1	+	145508015	145508611	145508015	145508284	145508474	145508611	6631	33,46	1571,1821	50,31	1012,879	197	99	0.0014348912746	0.0599381776285	0.01,0.013	0.024,0.017	-0.009
6867	"ENSG00000204628.7"	"GNB2L1"	chr5	-	180668491	180669345	180668491	180668639	180669169	180669345	6867	93,220	4,4	92,69	10,7	197	99	0.00146935969694	0.0608442684942	0.921,0.965	0.822,0.832	0.116
773	"ENSG00000100099.16"	"HPS4"	chr22	-	26861420	26862228	26861420	26861517	26862191	26862228	773	9,5	45,22	17,10	21,15	197	99	0.00152806397566	0.0627296607939	0.091,0.103	0.289,0.251	-0.173
7288	"ENSG00000111641.6"	"NOP2"	chr12	-	6669263	6669735	6669263	6669492	6669612	6669735	7288	27,11	82,62	24,17	36,27	197	99	0.00156442015406	0.0636732373815	0.142,0.082	0.251,0.24	-0.134
84	"ENSG00000100181.17"	"TPTEP1"	chr22	+	17094966	17096001	17094966	17095068	17095588	17096001	84	1403,1470	205,257	1602,1087	165,121	197	99	0.00163049325843	0.0658000753953	0.775,0.742	0.83,0.819	-0.066
