ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
63842	"ENSG00000128595.12"	"CALU"	chr7	+	128394582	128394776	128379345	128379486	128398924	128399091	63842	2,294	0,0	46,72	36,54	197	99	0.0	0.0	1.0,1.0	0.391,0.401	0.604
67024	"ENSG00000109255.7"	"NMU"	chr4	-	56471310	56471516	56466688	56466742	56473464	56473488	67024	668,2475	12,13	638,887	39,52	197	99	0.0	0.0	0.965,0.99	0.892,0.896	0.084
9784	"ENSG00000100084.10"	"HIRA"	chr22	-	19395796	19395926	19394706	19394797	19396005	19396116	9784	3,0	111,262	30,23	83,93	197	99	0.0	0.0	0.013,0.0	0.154,0.111	-0.126
28722	"ENSG00000172660.7"	"TAF15"	chr17	+	34147149	34147243	34147027	34147079	34147335	34147441	28722	42,35	29,28	82,73	2,1	192	99	1.11022302463e-16	2.8184399259e-13	0.428,0.392	0.955,0.974	-0.554
45882	"ENSG00000185686.13"	"PRAME"	chr22	-	22899231	22899329	22893188	22893511	22899964	22900000	45882	4992,5353	154,85	2757,2160	199,138	196	99	1.11022302463e-16	2.8184399259e-13	0.942,0.97	0.875,0.888	0.075
45901	"ENSG00000185686.13"	"PRAME"	chr22	-	22899231	22899350	22893273	22893511	22899964	22900174	45901	5038,6630	154,85	3072,2414	199,138	197	99	2.22044604925e-16	5.01055986825e-13	0.943,0.975	0.886,0.898	0.067
63185	"ENSG00000134086.7"	"VHL"	chr3	+	10184644	10184705	10182691	10183871	10188197	10188360	63185	0,0	33,104	30,28	48,48	159	99	2.22044604925e-16	5.01055986825e-13	0.0,0.0	0.28,0.266	-0.273
13391	"ENSG00000182944.13"	"EWSR1"	chr22	+	29687550	29687588	29682911	29683123	29688125	29688158	13391	161,126	69,56	91,101	2,2	136	99	5.55111512313e-16	1.18671154774e-12	0.629,0.621	0.971,0.974	-0.347
67048	"ENSG00000165629.15"	"ATP5C1"	chr10	+	7848936	7848973	7844720	7844817	7849621	7849756	67048	932,793	0,0	632,529	34,22	135	99	9.99200722163e-16	2.02927674664e-12	1.0,1.0	0.932,0.946	0.061
7814	"ENSG00000156467.5"	"UQCRB"	chr8	-	97243606	97243743	97243169	97243360	97244001	97244168	7814	86,361	2681,2060	127,72	3681,2967	197	99	1.11022302463e-15	2.14738280069e-12	0.016,0.081	0.017,0.012	0.034
25054	"ENSG00000140105.13"	"WARS"	chr14	-	100841619	100841687	100835423	100835595	100842596	100842644	25054	26,0	131,41	189,157	172,153	166	99	4.21884749358e-15	7.78914306792e-12	0.106,0.0	0.396,0.38	-0.335
25955	"ENSG00000139641.8"	"ESYT1"	chr12	+	56527893	56527965	56527564	56527657	56528125	56528212	25955	303,103	41,40	189,268	0,0	170	99	5.66213742559e-15	9.95848773814e-12	0.811,0.6	1.0,1.0	-0.294
67013	"ENSG00000109255.7"	"NMU"	chr4	-	56471441	56471680	56466688	56466742	56473464	56473515	67013	204,1162	5,6	335,492	31,39	197	99	5.88418203051e-15	9.95848773814e-12	0.953,0.99	0.844,0.864	0.118
25952	"ENSG00000139641.8"	"ESYT1"	chr12	+	56527863	56527965	56527564	56527657	56528125	56528212	25952	252,265	41,40	147,211	0,0	197	99	9.7699626167e-15	1.58734536626e-11	0.755,0.769	1.0,1.0	-0.238
45893	"ENSG00000185686.13"	"PRAME"	chr22	-	22899231	22899397	22893188	22893511	22899964	22900000	45893	3542,4054	154,85	2192,1690	199,138	197	99	1.85407245112e-14	2.89648903152e-11	0.92,0.96	0.847,0.86	0.087
28733	"ENSG00000172660.7"	"TAF15"	chr17	+	34147149	34147252	34147027	34147079	34147335	34147441	28733	223,182	29,28	263,257	2,1	197	99	5.66213742559e-14	7.66615659842e-11	0.794,0.766	0.985,0.992	-0.208
35701	"ENSG00000101166.11"	"SLMO2"	chr20	-	57612245	57612354	57611744	57611815	57613520	57613689	35701	389,389	8,1	300,268	44,26	197	99	5.25135490648e-14	7.66615659842e-11	0.961,0.995	0.774,0.838	0.172
35702	"ENSG00000101166.11"	"SLMO2"	chr20	-	57612245	57612335	57611744	57611815	57613520	57613689	35702	501,597	8,1	430,385	44,26	188	99	5.65103519534e-14	7.66615659842e-11	0.971,0.997	0.837,0.886	0.123
45885	"ENSG00000185686.13"	"PRAME"	chr22	-	22899231	22899506	22893175	22893511	22899964	22900000	45885	3545,4041	154,85	2234,1717	199,138	197	99	5.45119505091e-14	7.66615659842e-11	0.92,0.96	0.849,0.862	0.085
45887	"ENSG00000185686.13"	"PRAME"	chr22	-	22899231	22899312	22893273	22893511	22899964	22900000	45887	2607,3013	154,85	1660,1269	199,138	179	99	7.19424519957e-14	9.42631779084e-11	0.904,0.951	0.822,0.836	0.099
25959	"ENSG00000139641.8"	"ESYT1"	chr12	+	56527750	56527965	56527564	56527657	56528125	56528212	25959	179,119	41,40	92,116	0,0	197	99	8.2822637637e-14	1.05127809236e-10	0.687,0.599	1.0,1.0	-0.357
25047	"ENSG00000140105.13"	"WARS"	chr14	-	100841619	100841743	100835423	100835595	100842596	100842646	25047	42,0	131,41	255,218	172,153	197	99	1.38222766566e-13	1.70131282799e-10	0.139,0.0	0.427,0.417	-0.352
17024	"ENSG00000149925.12"	"ALDOA"	chr16	+	30078205	30078359	30075699	30075826	30078554	30078687	17024	47,141	1414,931	38,23	1552,1188	197	99	2.50577336658e-13	2.99351478246e-10	0.016,0.071	0.012,0.01	0.033
45874	"ENSG00000110958.11"	"PTGES3"	chr12	-	57064058	57064148	57059987	57060050	57065532	57065631	45874	4260,4944	71,47	2809,2430	113,89	188	99	8.24007528877e-13	9.56272508798e-10	0.969,0.982	0.929,0.935	0.043
22667	"ENSG00000122566.16"	"HNRNPA2B1"	chr7	-	26237450	26237486	26237241	26237352	26240191	26240366	22667	1118,108	4850,5267	756,789	3008,3060	134	99	1.28741461936e-12	1.45256130581e-09	0.146,0.015	0.157,0.16	-0.078
28382	"ENSG00000138668.14"	"HNRNPD"	chr4	-	83277619	83277836	83275999	83276554	83277948	83278048	28382	439,393	1207,1026	52,52	36,41	197	99	1.68520752908e-12	1.84999349773e-09	0.155,0.161	0.421,0.389	-0.247
7817	"ENSG00000156467.5"	"UQCRB"	chr8	-	97243453	97243743	97242942	97243360	97244001	97244168	7817	53,206	2681,2060	77,43	3681,2967	197	99	1.97730720686e-12	2.11353326653e-09	0.01,0.048	0.01,0.007	0.021
50028	"ENSG00000178035.7"	"IMPDH2"	chr3	-	49065142	49065349	49064392	49064480	49065680	49065755	50028	280,2106	77,65	542,827	0,0	197	99	2.32303065673e-12	2.41940664654e-09	0.646,0.942	1.0,1.0	-0.206
25055	"ENSG00000140105.13"	"WARS"	chr14	-	100841619	100841740	100835423	100835595	100842596	100842648	25055	47,0	131,41	261,223	172,153	197	99	3.17668114036e-12	3.22576086398e-09	0.153,0.0	0.433,0.423	-0.351
26057	"ENSG00000221978.7"	"CCNL2"	chr1	-	1327975	1328183	1326145	1326245	1328775	1328840	26057	35,25	54,52	48,51	9,14	197	99	3.29958282919e-12	3.26884037454e-09	0.246,0.195	0.728,0.647	-0.467
10926	"ENSG00000266976.1"	"AC079466.1"	chr19	+	29101166	29101238	29097594	29098011	29103345	29106136	10926	1266,173	49,7	434,361	76,47	170	99	4.38948877246e-12	4.24505368952e-09	0.938,0.935	0.769,0.817	0.144
8812	"ENSG00000138326.14"	"RPS24"	chr10	+	79799958	79799983	79796951	79797062	79800372	79800505	8812	469,21	3598,2571	514,289	3163,2343	123	99	5.30286925482e-12	5.00911496261e-09	0.095,0.007	0.116,0.09	-0.052
14257	"ENSG00000092841.14"	"MYL6"	chr12	+	56553370	56553489	56552464	56552495	56553758	56553932	14257	2785,2855	124,107	1831,1643	20,18	197	99	6.79722944597e-12	6.27476967355e-09	0.919,0.931	0.979,0.979	-0.054
1990	"ENSG00000138069.12"	"RAB1A"	chr2	-	65318116	65318212	65313988	65315824	65325104	65325200	1990	538,521	14,1	416,344	49,23	194	99	1.49845691411e-11	1.35254050972e-08	0.951,0.996	0.812,0.884	0.125
19700	"ENSG00000149554.8"	"CHEK1"	chr11	+	125507343	125507439	125505323	125505428	125513686	125513802	19700	227,290	5,0	215,175	34,18	194	99	1.82319714881e-11	1.57563025086e-08	0.959,1.0	0.763,0.832	0.182
49307	"ENSG00000165795.16"	"NDRG2"	chr14	-	21486785	21486843	21486615	21486663	21486921	21486973	49307	20,16	18,20	2,2	49,52	156	99	1.8160362103e-11	1.57563025086e-08	0.414,0.337	0.025,0.024	0.351
59828	"ENSG00000113810.11"	"SMC4"	chr3	+	160119652	160119881	160117453	160117537	160120463	160120655	59828	50,64	39,31	42,65	1,1	197	99	1.92514892916e-11	1.62907706676e-08	0.392,0.509	0.955,0.97	-0.512
45989	"ENSG00000117523.11"	"PRRC2C"	chr1	+	171560290	171560422	171557517	171557644	171560725	171560986	45989	54,33	203,119	18,21	9,10	197	99	3.47286643887e-11	2.87879365335e-08	0.118,0.122	0.501,0.513	-0.387
62691	"ENSG00000113048.12"	"MRPS27"	chr5	-	71522876	71522944	71521883	71522026	71524092	71524195	62691	13,21	59,48	2,3	123,130	166	99	1.04905750753e-10	8.52212356817e-08	0.116,0.207	0.01,0.014	0.149
41097	"ENSG00000126261.8"	"UBA2"	chr19	+	34921480	34921564	34919267	34919475	34922765	34922938	41097	864,1076	20,17	641,571	57,35	182	99	1.85850113077e-10	1.48016860646e-07	0.959,0.972	0.859,0.899	0.087
6459	"ENSG00000132581.5"	"SDF2"	chr17	-	26988743	26988957	26982304	26982501	26989063	26989150	6459	98,185	24,0	51,46	64,63	197	99	2.43120634735e-10	1.89905268109e-07	0.672,1.0	0.286,0.268	0.559
2094	"ENSG00000204463.8"	"BAG6"	chr6	-	31608161	31608334	31607975	31608083	31608421	31608481	2094	235,184	59,48	123,137	4,5	197	99	3.46188078204e-10	2.65310704915e-07	0.667,0.658	0.939,0.932	-0.273
1366	"ENSG00000111450.9"	"STX2"	chr12	-	131288917	131289088	131285959	131286033	131291526	131291635	1366	0,0	23,17	20,21	12,14	197	99	4.78968087414e-10	3.60272699529e-07	0.0,0.0	0.456,0.43	-0.443
14260	"ENSG00000092841.14"	"MYL6"	chr12	+	56552591	56552704	56552467	56552495	56553370	56553406	14260	119,126	2783,2850	1,0	944,1051	197	99	5.32502597572e-10	3.86235544789e-07	0.021,0.022	0.001,0.0	0.021
31178	"ENSG00000124562.5"	"SNRPC"	chr6	+	34725625	34725731	34725182	34725328	34730371	34730480	31178	3570,4421	4,23	2431,2283	48,27	197	99	5.2322757238e-10	3.86235544789e-07	0.998,0.99	0.962,0.977	0.024
50766	"ENSG00000082898.12"	"XPO1"	chr2	-	61761692	61761789	61760906	61761038	61764696	61765366	50766	14,12	242,403	43,27	196,169	195	99	5.59249424548e-10	3.98519177654e-07	0.029,0.015	0.1,0.075	-0.066
59572	"ENSG00000131375.5"	"CAPN7"	chr3	+	15287032	15287178	15283684	15283760	15288238	15288301	59572	160,219	12,5	81,70	35,18	197	99	6.71102617922e-10	4.69980105772e-07	0.87,0.957	0.538,0.662	0.313
32247	"ENSG00000185222.7"	"WBP5"	chrX	+	102612010	102612089	102611372	102611534	102612542	102613397	32247	441,690	43,43	516,373	110,83	177	99	7.08522795989e-10	4.8594143256e-07	0.852,0.9	0.724,0.715	0.156
60773	"ENSG00000170180.15"	"GYPA"	chr4	-	145041642	145041741	145040838	145040934	145061751	145061788	60773	775,481	7,0	955,644	45,29	197	99	7.17821801999e-10	4.8594143256e-07	0.982,1.0	0.914,0.918	0.075
33524	"ENSG00000161203.9"	"AP2M1"	chr3	+	183898432	183898438	183897956	183898039	183898636	183898772	33524	715,796	155,125	396,280	165,125	104	99	1.31341615361e-09	8.74562907005e-07	0.815,0.858	0.696,0.681	0.148
61464	"ENSG00000122406.8"	"RPL5"	chr1	+	93298945	93299015	93297620	93297674	93299101	93299217	61464	14814,14383	0,0	12889,12357	190,117	168	99	1.61726276815e-09	1.05951579221e-06	1.0,1.0	0.976,0.984	0.02
33525	"ENSG00000161203.9"	"AP2M1"	chr3	+	183898432	183898529	183897982	183898039	183898636	183898703	33525	709,775	155,125	391,276	165,125	195	99	1.7079387904e-09	1.10115964744e-06	0.699,0.759	0.546,0.529	0.191
11286	"ENSG00000124635.7"	"HIST1H2BJ"	chr6	-	27095042	27095180	27094057	27094241	27100145	27100541	11286	79,170	33,102	247,169	36,25	197	99	2.86704526786e-09	1.81958819828e-06	0.546,0.456	0.775,0.773	-0.273
67015	"ENSG00000109255.7"	"NMU"	chr4	-	56471441	56471516	56466688	56466742	56473464	56473488	67015	2167,4352	54,52	1920,1539	86,65	173	99	5.32487820504e-09	3.32747542973e-06	0.958,0.98	0.927,0.931	0.04
7496	"ENSG00000140612.9"	"SEC11A"	chr15	-	85257961	85258097	85234765	85234875	85259255	85259394	7496	36,109	395,386	27,21	495,396	197	99	5.58006263418e-09	3.43410581932e-06	0.044,0.124	0.027,0.026	0.057
29154	"ENSG00000075303.8"	"SLC25A40"	chr7	-	87473281	87473368	87473068	87473178	87476263	87476437	29154	8,11	23,27	1,1	83,78	185	99	6.96915414267e-09	4.22497168607e-06	0.157,0.179	0.006,0.007	0.161
47220	"ENSG00000099917.13"	"MED15"	chr22	+	20940267	20940389	20940014	20940113	20940854	20941904	47220	23,30	342,303	0,0	226,244	197	99	1.46887005892e-08	8.77390647841e-06	0.033,0.047	0.0,0.0	0.04
28371	"ENSG00000138668.14"	"HNRNPD"	chr4	-	83277689	83277858	83276456	83276554	83277948	83278048	28371	431,0	511,1164	354,327	381,392	197	99	2.38984789735e-08	1.36719495626e-05	0.298,0.0	0.318,0.295	-0.158
59287	"ENSG00000106462.6"	"EZH2"	chr7	-	148516069	148516151	148513775	148515209	148516687	148516779	59287	109,17	835,907	117,70	588,512	180	99	2.38481613346e-08	1.36719495626e-05	0.067,0.01	0.099,0.07	-0.046
65339	"ENSG00000135506.11"	"OS9"	chr12	+	58113881	58114087	58112775	58112965	58114188	58114301	65339	5,41	7,163	51,61	28,33	197	99	2.32938206501e-08	1.36719495626e-05	0.264,0.112	0.478,0.482	-0.292
52957	"ENSG00000114346.9"	"ECT2"	chr3	+	172536337	172536604	172534480	172534627	172537937	172539263	52957	11,7	44,69	33,19	31,22	197	99	2.5607050147e-08	1.44459328177e-05	0.112,0.049	0.349,0.303	-0.245
67034	"ENSG00000109255.7"	"NMU"	chr4	-	56471441	56471489	56466688	56466742	56473464	56473515	67034	252,213	40,28	92,94	41,46	146	99	2.66571873464e-08	1.48323511731e-05	0.81,0.838	0.603,0.581	0.232
31181	"ENSG00000124562.5"	"SNRPC"	chr6	+	34725688	34725731	34725182	34725328	34730371	34730480	31181	3665,4470	6,25	2739,2373	55,31	141	99	3.51668095755e-08	1.93027766397e-05	0.998,0.992	0.972,0.982	0.018
23991	"ENSG00000093009.5"	"CDC45"	chr22	+	19481996	19482125	19481744	19481905	19483503	19483552	23991	28,10	165,239	52,37	144,125	197	99	4.46471385418e-08	2.41796996439e-05	0.079,0.021	0.154,0.129	-0.092
23992	"ENSG00000093009.5"	"CDC45"	chr22	+	19482015	19482125	19481849	19481905	19483503	19483552	23992	27,7	163,241	48,34	142,124	197	99	4.83237012627e-08	2.58264749722e-05	0.077,0.014	0.145,0.121	-0.088
39966	"ENSG00000221983.3"	"UBA52"	chr19	+	18683160	18683417	18682684	18682719	18684102	18684213	39966	69,0	1379,1355	89,60	1323,989	197	99	5.60192966459e-08	2.95505427424e-05	0.025,0.0	0.033,0.03	-0.019
23709	"ENSG00000088833.13"	"NSFL1C"	chr20	-	1426639	1426794	1426310	1426475	1433137	1433275	23709	36,17	331,407	60,33	240,178	197	99	5.86920907431e-08	3.05635300231e-05	0.052,0.021	0.112,0.085	-0.062
40436	"ENSG00000082515.12"	"MRPL22"	chr5	+	154330380	154330506	154320654	154320825	154335930	154335996	40436	167,372	23,0	102,149	28,45	197	99	7.10410594795e-08	3.65258956195e-05	0.785,1.0	0.647,0.625	0.257
14471	"ENSG00000001036.9"	"FUCA2"	chr6	-	143823491	143823697	143823068	143823259	143828373	143828561	14471	239,179	17,14	287,281	1,2	197	99	8.91141680448e-08	4.52454909705e-05	0.876,0.865	0.993,0.986	-0.119
30488	"ENSG00000163597.10"	"SNHG16"	chr17	+	74555026	74555125	74553873	74553939	74557369	74557480	30488	202,84	60,17	388,287	256,219	197	99	9.90704293047e-08	4.96795394753e-05	0.629,0.713	0.432,0.397	0.257
24001	"ENSG00000093009.5"	"CDC45"	chr22	+	19482029	19482125	19481849	19481905	19483503	19483509	24001	28,8	165,239	49,34	144,125	194	99	1.23470990987e-07	6.11603013648e-05	0.08,0.017	0.148,0.122	-0.087
44082	"ENSG00000102893.11"	"PHKB"	chr16	+	47497792	47497904	47495205	47495337	47531309	47531399	44082	82,71	10,4	57,39	29,23	197	99	1.29702039886e-07	6.34727404348e-05	0.805,0.899	0.497,0.46	0.374
40289	"ENSG00000203875.6"	"SNHG5"	chr6	-	86387512	86387593	86387046	86387210	86387853	86387917	40289	587,1265	0,2	1181,1061	27,20	179	99	1.3820200595e-07	6.68272509247e-05	1.0,0.997	0.96,0.967	0.035
36732	"ENSG00000092199.13"	"HNRNPC"	chr14	-	21731469	21731495	21702111	21702388	21737456	21737582	36732	3809,2675	592,149	2822,2434	616,462	124	99	1.78366653114e-07	8.52340790139e-05	0.837,0.935	0.785,0.808	0.09
30599	"ENSG00000089685.10"	"BIRC5"	chr17	+	76218908	76219073	76212744	76212862	76219545	76219635	30599	24,2	282,613	36,31	333,269	197	99	1.91353777157e-07	9.037683396e-05	0.041,0.002	0.052,0.055	-0.032
44084	"ENSG00000102893.11"	"PHKB"	chr16	+	47497809	47497904	47495033	47495337	47531309	47531399	44084	87,60	10,4	59,40	29,23	193	99	2.02949390737e-07	9.40811576792e-05	0.817,0.885	0.511,0.471	0.36
69826	"ENSG00000103121.4"	"CMC2"	chr16	-	81015410	81015482	81009697	81010076	81040338	81040478	69826	240,277	0,0	177,152	13,7	170	99	2.03829382928e-07	9.40811576792e-05	1.0,1.0	0.888,0.927	0.093
68976	"ENSG00000131171.8"	"SH3BGRL"	chrX	+	80492616	80492779	80457626	80457744	80532482	80532668	68976	10,21	187,38	2,2	181,157	197	99	2.43875537986e-07	0.000111300411257	0.026,0.217	0.006,0.006	0.115
68868	"ENSG00000088930.6"	"XRN2"	chr20	+	21314715	21314823	21314574	21314632	21319681	21319726	68868	79,400	15,19	181,216	0,0	197	99	2.49800103158e-07	0.000112737562112	0.726,0.914	1.0,1.0	-0.18
23165	"ENSG00000136122.11"	"BORA"	chr13	+	73305418	73305525	73303063	73303231	73312099	73312181	23165	39,90	1,1	32,23	12,8	197	99	2.65494299989e-07	0.000118503818428	0.951,0.978	0.573,0.591	0.382
7253	"ENSG00000135387.15"	"CAPRIN1"	chr11	+	34119244	34119308	34118742	34118843	34120849	34122011	7253	542,659	28,18	304,375	0,0	162	99	3.06291670582e-07	0.000135227772562	0.922,0.957	1.0,1.0	-0.06
62698	"ENSG00000113048.12"	"MRPS27"	chr5	-	71522876	71523017	71521883	71522026	71524092	71524210	62698	18,24	59,48	1,1	43,52	197	99	3.2276872719e-07	0.000140970109258	0.133,0.201	0.012,0.01	0.156
59720	"ENSG00000106070.13"	"GRB10"	chr7	-	50671694	50671782	50663133	50663227	50672007	50672074	59720	116,74	14,5	154,156	0,0	186	99	3.58812736634e-07	0.000155045273794	0.815,0.887	1.0,1.0	-0.149
174	"ENSG00000010244.12"	"ZNF207"	chr17	+	30688486	30688534	30687910	30687986	30689932	30690003	174	751,560	13,4	555,445	36,19	146	99	4.0510041055e-07	0.000173203878692	0.975,0.99	0.913,0.941	0.055
29346	"ENSG00000239672.3"	"NME1"	chr17	+	49231585	49231805	49230938	49231023	49233011	49233141	29346	105,48	1621,976	96,89	771,705	197	99	4.71059465545e-07	0.000199146639852	0.032,0.024	0.059,0.06	-0.032
63465	"ENSG00000183527.7"	"PSMG1"	chr21	-	40551849	40551912	40550374	40550573	40552210	40552362	63465	830,850	100,54	567,488	122,88	161	99	4.7558284666e-07	0.000199146639852	0.836,0.906	0.741,0.773	0.114
66014	"ENSG00000029363.11"	"BCLAF1"	chr6	-	136590266	136590441	136589299	136589477	136590574	136591097	66014	31,0	85,236	37,29	73,66	197	99	4.84079285767e-07	0.000200636045197	0.155,0.0	0.203,0.181	-0.115
30706	"ENSG00000095319.10"	"NUP188"	chr9	+	131710780	131710938	131709985	131710030	131711467	131711522	30706	15,16	118,115	1,1	129,131	197	99	5.28316485782e-07	0.000216759182015	0.06,0.065	0.004,0.004	0.058
47309	"ENSG00000234741.3"	"GAS5"	chr1	-	173833621	173833644	173833117	173833442	173833812	173834039	47309	528,1434	18,0	1603,1010	53,41	121	99	5.72262785825e-07	0.000232441698346	0.96,1.0	0.961,0.953	0.023
30921	"ENSG00000158411.6"	"MITD1"	chr2	-	99787805	99787892	99786999	99787115	99787972	99788109	30921	146,149	2,3	85,67	15,10	185	99	6.15010832816e-07	0.000247331782251	0.975,0.964	0.752,0.782	0.203
41319	"ENSG00000198858.5"	"R3HDM4"	chr19	-	902241	902434	901975	902130	913086	913204	41319	28,1	74,94	33,23	40,28	197	99	6.26316764563e-07	0.000249409160226	0.16,0.005	0.293,0.292	-0.21
54838	"ENSG00000170627.5"	"GTSF1"	chr12	-	54858850	54858951	54856954	54857081	54865016	54865061	54838	2444,2914	70,28	1939,1516	80,64	197	99	7.05598416362e-07	0.00027557688919	0.946,0.981	0.924,0.923	0.04
57163	"ENSG00000171960.6"	"PPIH"	chr1	+	43141037	43141119	43133021	43133111	43142254	43142429	57163	21,21	392,248	5,5	489,366	180	99	7.04126706275e-07	0.00027557688919	0.029,0.045	0.006,0.007	0.03
50780	"ENSG00000082898.12"	"XPO1"	chr2	-	61761692	61761813	61760906	61761038	61764696	61764775	50780	28,39	325,431	73,42	277,221	197	99	7.17360673419e-07	0.000277502436504	0.041,0.043	0.117,0.087	-0.06
27141	"ENSG00000118513.14"	"MYB"	chr6	+	135520663	135520719	135520045	135520188	135521222	135521337	27141	30,11	902,489	50,32	539,420	154	99	9.88003001967e-07	0.000378591565414	0.021,0.014	0.056,0.047	-0.034
49644	"ENSG00000118418.10"	"HMGN3"	chr6	-	79911676	79911872	79910961	79911443	79911992	79912106	49644	16,11	43,28	2,4	75,63	197	99	1.06920398624e-06	0.000402119699195	0.158,0.165	0.013,0.031	0.14
9777	"ENSG00000100084.10"	"HIRA"	chr22	-	19395796	19395930	19394706	19394797	19396005	19396116	9777	30,22	188,348	47,33	141,140	197	99	1.06179360848e-06	0.000402119699195	0.074,0.031	0.143,0.106	-0.072
8803	"ENSG00000138326.14"	"RPS24"	chr10	+	79799961	79799983	79796951	79797062	79800372	79800455	8803	862,87	3598,2571	854,480	3163,2343	120	99	1.100142069e-06	0.000409959362923	0.165,0.027	0.182,0.145	-0.067
61559	"ENSG00000138382.9"	"METTL5"	chr2	-	170671986	170672038	170668966	170669016	170676070	170676153	61559	867,453	32,6	602,491	56,34	150	99	1.25194429468e-06	0.000462286121466	0.947,0.98	0.876,0.905	0.073
33477	"ENSG00000029534.15"	"ANK1"	chr8	-	41530266	41530430	41529871	41529944	41542061	41542208	33477	26,0	42,51	16,26	8,13	197	99	1.3258631798e-06	0.0004851703661	0.237,0.0	0.501,0.501	-0.383
64274	"ENSG00000112651.7"	"MRPL2"	chr6	-	43023282	43023356	43021766	43022224	43023634	43023745	64274	702,629	30,5	386,317	37,21	172	99	1.45338768132e-06	0.000527086614642	0.931,0.986	0.857,0.897	0.082
9780	"ENSG00000100084.10"	"HIRA"	chr22	-	19392985	19393054	19385514	19385610	19393308	19393403	9780	19,2	105,131	27,15	56,49	167	99	1.49753623424e-06	0.000538291387278	0.097,0.009	0.222,0.154	-0.135
59648	"ENSG00000006715.11"	"VPS41"	chr7	-	38857657	38857753	38857416	38857482	38860802	38860865	59648	13,7	3,1	0,0	8,9	194	99	1.52034792822e-06	0.000541697299548	0.689,0.781	0.0,0.0	0.735
63834	"ENSG00000128595.12"	"CALU"	chr7	+	128388626	128388858	128379345	128379486	128398924	128399091	63834	212,341	15,46	314,252	99,63	197	99	1.54557218579e-06	0.000545896096021	0.877,0.788	0.614,0.668	0.192
64277	"ENSG00000112651.7"	"MRPL2"	chr6	-	43023282	43023382	43021766	43022224	43023634	43023745	64277	357,318	8,12	130,148	15,20	197	99	1.60295938345e-06	0.000561284519284	0.957,0.93	0.813,0.788	0.143
11935	"ENSG00000163319.6"	"MRPS18C"	chr4	+	84379498	84379582	84378061	84378111	84380892	84380950	11935	513,502	26,6	280,256	33,22	182	99	1.66074551577e-06	0.000576548387688	0.915,0.978	0.822,0.864	0.104
20648	"ENSG00000174485.10"	"DENND4A"	chr15	-	65992881	65993010	65989604	65989721	65993388	65993530	20648	27,3	86,59	31,23	37,27	197	99	2.12224429808e-06	0.00073051965169	0.136,0.025	0.296,0.3	-0.217
